Basin_ID,Basin_Name,Trend_cm_yr,p_value,Significant,NSE_Natural,NSE_Anthro,Delta_NSE,Delta_R2_Mean,Delta_R2_95_CI,Dominant_Driver,Area_km2,Trend_km3_yr
1,Indigirka,-0.1255,0.047411,1,0.0381,0.0159,-0.0223,-0.0079,"[-0.0631, 0.0452]",P,327609.3687288718,-0.4111497577547341
2,Kolyma,-0.0859,0.30533,0,0.076,0.0668,-0.0092,0.0061,"[-0.0467, 0.0560]",P,749339.0151830363,-0.6436822140422283
3,Yenisey,0.0079,0.92862,0,-0.0355,-0.0006,0.0349,0.0142,"[-0.0526, 0.0912]",P,1913210.793020101,0.151143652648588
4,Mackenzie,-0.4887,1.244e-10,1,0.0071,0.0391,0.032,0.0004,"[-0.0589, 0.0596]",P,1537235.2333653076,-7.512468585456259
5,Yukon,-1.1712,1.3323e-15,1,0.0369,0.0584,0.0215,-0.0103,"[-0.0812, 0.0641]",P,830250.0544506798,-9.723888637726363
6,N. Dvina,0.0795,0.39394,0,0.0877,0.0946,0.0069,-0.0082,"[-0.0590, 0.0417]",P,357127.21182845935,0.2839161334036252
7,Kuskokwim,-0.8185,4.6908e-11,1,0.088,0.0608,-0.0271,0.0155,"[-0.0460, 0.0780]",P,115376.63655898398,-0.944357770235284
8,Volga,-0.295,0.047184,1,0.151,0.1403,-0.0106,-0.0041,"[-0.0554, 0.0511]",P,1382685.454023851,-4.07892208937036
9,Saskatchewan-Nelson,0.2191,0.030242,1,0.136,0.0893,-0.0467,-0.0212,"[-0.0706, 0.0259]",P,1139066.9196859926,2.49569562103201
10,Baikal,-0.2168,0.0,1,-0.0318,-0.0289,0.0029,0.0212,"[-0.0379, 0.0797]",P,586690.3692196916,-1.2719447204682914
11,Amur,0.0675,0.22009,0,0.068,0.0935,0.0255,0.0101,"[-0.0380, 0.0551]",P,2209238.1249301685,1.491235734327864
12,Dnieper,-0.7128,1.2869e-10,1,0.1354,0.1496,0.0143,0.0143,"[-0.0407, 0.0679]",P,537682.2709327105,-3.83259922720836
13,Neman,-0.2217,0.18884,0,-0.0479,-0.0067,0.0412,-0.0096,"[-0.0578, 0.0374]",P,96700.60418205979,-0.21438523947162658
14,Fraser,-1.2039,1.5734e-12,1,-0.0514,-0.0397,0.0118,0.0242,"[-0.0394, 0.0818]",P,237306.13935210707,-2.856928611660017
15,Oder,-0.2464,0.10553,0,0.0928,0.1104,0.0177,-0.0073,"[-0.0539, 0.0377]",P,161179.2952247274,-0.3971457834337283
16,Ural,-0.4523,0.047749,1,-0.0178,0.0137,0.0314,0.0031,"[-0.0514, 0.0536]",P,259715.1848475375,-1.174691781065412
17,Don,-0.8334,2.818e-05,1,-0.038,-0.0542,-0.0163,-0.0134,"[-0.0625, 0.0364]",P,488707.25223386195,-4.072886240117006
18,Vistula,-0.3708,0.032976,1,0.0466,0.1057,0.059,-0.0091,"[-0.0579, 0.0392]",P,183407.9555379239,-0.680076699134622
19,Elbe,-0.3077,0.056596,0,0.198,0.2075,0.0095,-0.0077,"[-0.0556, 0.0416]",P,107038.09618563596,-0.32935622196320186
20,Columbia,0.0664,0.53701,0,0.1601,0.1229,-0.0371,-0.004,"[-0.0519, 0.0432]",P,656385.8034712522,0.4358401735049115
21,Rhine,-0.4993,0.0023192,1,0.0502,0.0895,0.0393,-0.0045,"[-0.0527, 0.0473]",P,149350.80015572367,-0.7457085451775284
22,Lake Ubsa,-0.0921,0.0050665,1,-0.008,0.0209,0.0289,-0.0217,"[-0.0650, 0.0249]",P,97404.00166643219,-0.08970908553478406
23,St. Lawrence,0.6592,6.6089e-05,1,0.0182,0.0492,0.031,-0.01,"[-0.0683, 0.0463]",P,1055225.3169859205,6.956045289571189
24,Danube,-0.444,3.3558e-06,1,0.2741,0.2285,-0.0456,-0.0083,"[-0.0549, 0.0390]",P,804926.2715252228,-3.5738726455719894
25,Mississippi,0.2944,0.0025415,1,0.0907,0.1075,0.0168,0.0068,"[-0.0400, 0.0568]",P,3228751.076418621,9.50544316897642
26,Ili,-0.3627,0.00034833,1,-0.0027,0.0035,0.0062,0.0255,"[-0.0257, 0.0695]",P,462888.61645494873,-1.6788970118820992
27,Loire,-0.1927,0.0064841,1,0.0463,0.0357,-0.0105,0.0056,"[-0.0482, 0.0619]",P,116433.43160068676,-0.22436722269452342
