Basin_ID,Delta_R2_Mean,Delta_R2_Median,Delta_R2_SE,Delta_R2_CI_2_5,Delta_R2_CI_97_5,Imp_P_Mean,Imp_P_CI_Low,Imp_P_CI_Upp,Imp_ET_Mean,Imp_ET_CI_Low,Imp_ET_CI_Upp,Imp_Q_Mean,Imp_Q_CI_Low,Imp_Q_CI_Upp,Imp_GW_Mean,Imp_GW_CI_Low,Imp_GW_CI_Upp,Imp_SW_Mean,Imp_SW_CI_Low,Imp_SW_CI_Upp,Top_Driver_Prob_P,Top_Driver_Prob_ET,Top_Driver_Prob_Q,Top_Driver_Prob_GW,Top_Driver_Prob_SW
1,-0.0125775306729066,-0.012991011718012,0.0328973741982113,-0.0751352355799221,0.0495694317714152,0.904073914239566,0.463634916658021,1.3289299157145,1.24687929191673,0.947977930470261,1.53865790761804,0.839838306559257,0.365062458823714,1.23189872346174,0.763856596350202,0.338677610402139,1.20599353796606,0.718986606804867,0.265843133255975,1.18245426784859,0.044,0.929,0.013,0.012,0.002
2,0.068002816234133,0.0689552213590128,0.0368980061315213,-0.00591591493368948,0.140535369264463,0.840654907939068,0.331804336796663,1.29015037701557,1.13626480085624,0.842341538499228,1.4218910439962,0.931828729514746,0.486402066528169,1.32558366292377,0.987983928300988,0.654245183175578,1.32789394470704,0.987928121756056,0.661502081449887,1.29833611133845,0.048,0.602,0.093,0.129,0.128
3,0.0439933370473916,0.0423978656274613,0.0323501896076394,-0.0171142340630179,0.109592852203751,0.873759850655216,0.411344973760473,1.36736449683983,0.829247035789804,0.45125581480452,1.22978038250064,0.830430560263154,0.364937036001765,1.26042252087185,0.741912866186693,0.304309478804318,1.22772154793906,0.764668563317482,0.247193576413654,1.22997351886697,0.344,0.194,0.225,0.075,0.162
4,-0.0011109997488896,-0.00252216233506014,0.0339498542834199,-0.0659439024807115,0.0674709256152189,0.961298168003911,0.562754223071281,1.36731168663277,0.819172281577425,0.366111902404571,1.31002917007582,0.872573415648153,0.31443281440859,1.31499970800409,0.798505291704845,0.234233651032601,1.32358549295388,0.7311654389649,0.261696869196896,1.20277182144841,0.516,0.137,0.218,0.106,0.023
5,-0.00637387318243579,-0.00460479530577068,0.0401057783794786,-0.0859538815292343,0.0663437313550626,0.83305028541205,0.358788881579035,1.25159979544519,0.80338706049733,0.328947071589569,1.3009048695237,0.578545311472851,0.00425980182011141,1.0970635471288,0.526264822626535,-0.0998992531587697,1.11432354680719,0.500266438973073,-0.0866559970811621,1.15194847906534,0.472,0.389,0.026,0.037,0.076
6,0.0290816908928933,0.0291550530181579,0.0312373010122729,-0.0307403266346012,0.0898249969828432,1.09487444729747,0.656442342657522,1.51648653401548,0.777291916117347,0.197700109918477,1.28631225757292,0.781026052348395,0.256377103511773,1.26716154036589,0.930869232036676,0.445253990970751,1.36824892165174,0.708441857738729,0.020345482349781,1.29254535841559,0.771,0.047,0.023,0.141,0.018
7,0.0205861496070945,0.0195022525415026,0.0404538997657499,-0.0545228573809124,0.101389269902639,1.0778588661795,0.667664055469635,1.46686370892343,0.842461284825775,0.375492821504994,1.24792639185169,0.995524839141075,0.601092344963443,1.35751521696164,0.74869832302352,0.24961574725621,1.19834741001907,0.802561466300212,0.277823717138094,1.25833440179067,0.615,0.043,0.251,0.021,0.07
8,0.00393253436635954,0.00283372433426393,0.027342499609207,-0.0521686865819297,0.0600819557880733,1.19100655673415,0.812799434808507,1.5831073412833,0.76688089758001,0.316639042403603,1.17190087309711,0.861377157418842,0.398801419132977,1.29739334929274,0.881285126713037,0.420077259713488,1.32568380712983,0.774548581810396,0.228629899244287,1.25570760846514,0.863,0.008,0.04,0.062,0.027
9,0.0114086148549755,0.0115126169146378,0.0295122371589408,-0.0497171665940553,0.0667337672263081,1.10738703724067,0.762741424599317,1.45837181286961,0.832280408698917,0.438150556531476,1.22823894025248,0.81046277188399,0.288061543846452,1.2388964483032,0.743586530333239,0.255149892455412,1.1972520379638,0.928408651449549,0.482044010007922,1.32342812656186,0.735,0.035,0.028,0.012,0.19
10,0.0222716158172596,0.0214707797247227,0.0382491523315989,-0.053498514642097,0.0976663024436995,0.798657413451895,0.272844320924805,1.30833100458579,0.825094969189971,0.325679648141928,1.30148198509636,0.734342629183019,0.204349321908069,1.19578222890426,0.852021037095765,0.268846435718538,1.31448086730698,0.866915868307888,0.406941391860805,1.31054808187679,0.173,0.181,0.086,0.271,0.289
11,0.0217895695852895,0.0221693380736043,0.028167732071835,-0.0327698445934412,0.0781120605854913,1.16231699565513,0.78889190099883,1.55822363636666,0.906962313771428,0.440523671300135,1.34096831944447,0.859793330203058,0.356252761454879,1.30004941191065,0.901496528155567,0.482530834253489,1.31102984971383,0.826023501056542,0.364048000836227,1.26337214033816,0.766,0.099,0.068,0.049,0.018
12,0.0371685969959206,0.0371443416547648,0.0261432470233733,-0.0144296401789019,0.0854518409710106,1.05041718584401,0.658376184537482,1.41405767233906,0.887960017558876,0.510726881079276,1.24958704489277,0.572501749707869,0.0243493914044841,1.13591653870966,0.872994508021303,0.477158446500113,1.23422165124426,0.842231995634812,0.450960850344803,1.19978542207626,0.655,0.129,0.018,0.094,0.104
13,-0.0176186261651084,-0.0185723056092172,0.0257738859691152,-0.0645181934508103,0.0366218643066092,1.04293091373863,0.687723958241951,1.39515738823671,1.02761738871943,0.608706890848301,1.43386859038122,0.829282115613253,0.375688292353791,1.28553739954343,0.831063168858843,0.421422505620595,1.26428161074392,0.741031348348704,0.29771207770709,1.17970988112553,0.479,0.431,0.044,0.04,0.006
14,0.0507857735269551,0.0510607938658374,0.0416737852339437,-0.0319996770360679,0.133192643739541,0.843793296273296,0.340600944542991,1.25837242446502,0.681763032896419,0.187412666075599,1.1675500769291,0.686688743296515,0.140210869404996,1.19610104299381,0.83278600662528,0.238749963403201,1.31779068483081,0.659363055911967,0.00811657477506016,1.23978059616435,0.404,0.055,0.054,0.406,0.081
15,0.00308226763861158,0.00273937652065886,0.0290958799940112,-0.051527612351946,0.0622083980722275,1.37542674649553,1.0930087206094,1.67070641813525,0.815670479967678,0.390770501158771,1.2426753739234,0.995357712363163,0.601531978205925,1.37590786379258,0.944014991135231,0.549972452784701,1.29738469329034,0.854124811089279,0.396621066396228,1.25290067967034,0.936,0.003,0.04,0.011,0.01
16,0.00351256835008319,0.00401489388315507,0.0300188035229134,-0.05577487603357,0.0639317891375479,1.02188276708819,0.574153900571422,1.45692046072742,0.768049390607949,0.345652722713504,1.19481923759766,0.878375691505503,0.492709130756595,1.26137609214233,0.769365014999288,0.274907003042303,1.22042461034608,0.834789276103403,0.33220527896634,1.27666291153397,0.606,0.029,0.163,0.045,0.157
17,-0.00687412390259503,-0.00670715457857524,0.0351759581001504,-0.0767129445352219,0.0588497323231675,0.937207119157828,0.535697333740597,1.3580910170316,0.852144152318221,0.42606647966964,1.23592842890721,0.774219577412757,0.304592876873138,1.22970528530886,0.746802634988071,0.255636853759633,1.23602404074113,0.689000044369588,0.0902089640521534,1.1952002094915,0.561,0.215,0.073,0.111,0.04
18,0.00315684278325787,0.00432886676316102,0.0291696018380403,-0.0548859052619471,0.0581562489111221,1.06363859465218,0.686768038704014,1.39071164516486,0.925416435350855,0.396859216500141,1.42864288124953,0.759171253358132,0.19654214537741,1.25157564986259,0.792014336011258,0.25568624110807,1.27125642005524,0.733737775100554,0.153218253905473,1.22640389302813,0.679,0.225,0.036,0.039,0.021
19,0.002276415606415,0.00161018507272132,0.0288744111695992,-0.0526186209101807,0.0625581395754573,1.31470533905068,1.01678835031179,1.61147108543562,0.776554440487086,0.273514911134144,1.23342477780893,0.761404251504946,0.27119644410998,1.23892402548048,0.798588512473869,0.281953368370493,1.2437882370034,0.76298075684324,0.272043240214261,1.23463316535442,0.97,0.005,0.005,0.01,0.01
20,0.0264778792385648,0.0262510786346028,0.0273003790170309,-0.0279235416653753,0.0783710647860495,1.1644961484629,0.795576870333266,1.5163248914056,0.737729211427824,0.217178477002202,1.20938230242928,0.861957054835495,0.380447569405592,1.26923956748303,0.797479976454589,0.319329333185054,1.22908121326454,0.976342300101282,0.561140849321986,1.36312995058006,0.819,0.008,0.033,0.021,0.119
21,0.0102967411859252,0.0112146482028888,0.0288432447266338,-0.0462707245774365,0.0663847973224923,1.05287321768214,0.637127885929198,1.43742315795523,0.846733761719433,0.370535163425629,1.32539568000939,0.795593157100721,0.307311310539885,1.25792653659011,0.780330165210942,0.306488448717851,1.1960438442563,0.799942700175111,0.354527534024568,1.23246238577911,0.73,0.131,0.046,0.052,0.041
22,0.0188111282621317,0.0183666039948212,0.0331669892153443,-0.0459188198060135,0.0861691726448841,0.740334280396955,0.253795750525485,1.2087649324966,0.895617248061437,0.507339829785467,1.26508939220153,0.89043310779733,0.396806456038763,1.32133849730001,0.847879197074681,0.459039532329959,1.23792302870877,0.802630372353644,0.347452101978065,1.22779114079405,0.05,0.333,0.33,0.188,0.099
23,0.0189903810145509,0.0195337391384923,0.0326666272823404,-0.0455688715774792,0.0836604297721302,0.862349471122252,0.428166408299234,1.35498784959592,0.759344052075096,0.298904062249158,1.20131596580774,0.751830141749283,0.274705445811999,1.24106590596533,0.670624667157825,0.161115058015397,1.22108709178263,0.602421588561598,-0.0140777319476966,1.21782063334732,0.509,0.149,0.194,0.064,0.084
24,0.00216875632237824,0.00371285686740341,0.027107790420724,-0.0512003869326143,0.0513819269846776,1.27201354436463,0.92540686560182,1.60249808153257,0.885590512867066,0.433738780209837,1.3129889815039,0.968905085396965,0.520140721666718,1.35307737645799,0.835736418681592,0.403935552736953,1.21106108671915,0.836208435144614,0.329890000867427,1.26668363062289,0.891,0.044,0.052,0.006,0.007
25,0.0242851089381552,0.0240786713176184,0.0361864806260034,-0.0465567213157668,0.0948037261231175,0.823368493735485,0.356388810180987,1.26427345848063,0.89280703125749,0.408544017241807,1.32816385683789,0.732410077908452,0.265204023226558,1.18035102645271,0.719784792286157,0.170162314589117,1.15546806152516,0.713379781376775,0.238312599789272,1.13230078258314,0.288,0.511,0.071,0.055,0.075
26,0.0441588990520617,0.0444541968123921,0.0284018038718456,-0.0135576967635578,0.096878011387268,1.19859753905792,0.840000714036764,1.58179810708317,0.942436822400114,0.464248555451795,1.33344627943871,0.890164833785803,0.42788662588144,1.29809910157317,0.984744148870703,0.557101098064505,1.39654298661577,0.895691351354185,0.388361899771889,1.33428327461313,0.773,0.066,0.033,0.084,0.044
27,0.018539341873514,0.0190881423631064,0.0298274938374477,-0.0404145938240081,0.0748225770958467,1.10569494869713,0.714287760362002,1.48734873108949,0.872331342870229,0.398269727543137,1.30696351885535,0.978801953674973,0.501530300966189,1.35593968174521,1.00566367172452,0.547603813046686,1.43650743444829,0.895858910880371,0.456998519876915,1.27184208597059,0.549,0.041,0.144,0.234,0.032
28,0.0227040145585432,0.0234830157783929,0.0252481733492259,-0.0271813656643611,0.0699675023773151,0.968626789478581,0.544619963757899,1.34096629843162,0.902334177855182,0.401354287137813,1.394091439978,0.797239155150165,0.362738541251555,1.16995992868886,0.882474543430704,0.444679898857748,1.26203106802715,0.825875097660327,0.372694243900442,1.20973948255319,0.457,0.287,0.037,0.143,0.076
29,0.0259230154774771,0.0257176912245394,0.0321212952691598,-0.0382947067643978,0.0876922803170253,0.920491290780107,0.468692757809918,1.35653990933273,0.79681963905817,0.294188448093331,1.23168660735268,0.768136630193692,0.221852290242038,1.26072526422132,0.790705115882167,0.313011709082421,1.23549232910451,0.804877686802862,0.320515558227949,1.22211261870482,0.49,0.127,0.09,0.11,0.183
30,0.0427537867656681,0.0420713990047287,0.0266333974437792,-0.00822028662833568,0.0958524308238575,1.0796119184223,0.683367580437186,1.4622043297103,0.800121398717857,0.288900250562987,1.25678792996744,0.856264212188738,0.371204512760989,1.32333742616898,0.843658159945804,0.395711395586067,1.26290350567338,0.925584040852603,0.481336924030247,1.30076004119747,0.678,0.034,0.08,0.058,0.15
31,-0.00535133781816623,-0.00659158014363753,0.0263431203252334,-0.0549838352590022,0.0491323688442143,1.16845325695629,0.913202379717426,1.43750115717734,0.85896684983469,0.401210836870132,1.26834743453406,0.926831253169814,0.523696136299864,1.28034428392679,0.783697667141608,0.308081603344635,1.181538382934,0.902369946632809,0.484895359425416,1.31777838105231,0.827,0.04,0.059,0.009,0.065
32,0.0372434890610761,0.0380993264462579,0.0282516322835014,-0.0177864816806674,0.0927306355131485,1.03869444509285,0.646863423207889,1.41376770318519,0.953450864688602,0.463204086863454,1.38756714287503,0.901454938785235,0.399916673851715,1.33768161704388,1.01494736873078,0.592679828068458,1.39080755739084,0.888319243741315,0.471172308894912,1.26626199477999,0.405,0.158,0.094,0.296,0.047
33,0.0341037695818333,0.0348025007964301,0.0333004085342032,-0.0307000955026815,0.0961300843369308,0.817352543301468,0.323289774553755,1.28564884716528,0.74865811327233,0.182557544361412,1.23852286996733,0.881024061261582,0.396644735802323,1.22942385601173,0.904375980557108,0.392113052931503,1.33773323407329,0.874802278444026,0.3677788724776,1.31967654846186,0.124,0.043,0.268,0.329,0.236
34,0.00994428618925338,0.00916689992014469,0.0256067926282489,-0.0400000541481017,0.0625577303089928,1.00423038206184,0.65515479906149,1.32930743607358,0.898721855122894,0.420260760025542,1.35005699552883,0.982733797746126,0.605906683524831,1.34062041632333,0.781349741692673,0.295487198277278,1.24029901301357,0.908218951892758,0.464080532122598,1.32802334420323,0.379,0.144,0.307,0.023,0.147
35,0.0174767942285857,0.0176250580444159,0.0324843548094987,-0.0442152182601384,0.0803227306244732,0.931987930515947,0.507415094973979,1.36829096477022,0.811773606190115,0.310428149097611,1.28073133071797,0.80389419111798,0.320745360116284,1.27405409037936,0.858152685456887,0.437641007268135,1.27669816232804,0.809770652811146,0.356923495588805,1.24533644089375,0.451,0.141,0.102,0.212,0.094
36,0.0307750288556039,0.0324674431787044,0.0315830016874177,-0.0328245139522528,0.089137113046965,0.703423975746547,0.147274029656652,1.26923525753802,0.683621830225378,0.0838606520915391,1.2311231387693,0.750295002395183,0.130266266796677,1.32614370742109,0.750201342516946,0.200635391311356,1.2540402707415,0.715757855786167,0.0724511956131084,1.24227714990413,0.191,0.113,0.255,0.252,0.189
37,-0.00620419734450691,-0.00707676684043207,0.0342985113743023,-0.0708196291947391,0.0697226193611371,1.05361576834556,0.686968839957769,1.36752520077084,0.791794146422499,0.406263678287688,1.15130079661751,0.735214926038772,0.263850249027079,1.20567761624859,0.774808510607958,0.320653191880104,1.21207292113708,0.736544978186203,0.207740681550217,1.24538850936546,0.815,0.045,0.035,0.052,0.053
